sampleID	genomicsSampleID
DEJU_046-M-2.5-20.5-20180621	DEJU_046-M-20180621-COMP
HEAL_010-O-27.5-7-20170724	HEAL_010-O-20170724-COMP
HEAL_010-O-4.5-13-20170724	HEAL_010-O-20170724-COMP
HEAL_010-O-5.5-29-20170724	HEAL_010-O-20170724-COMP
HEAL_001-O-33-10.5-20170724	HEAL_001-O-20170724-COMP
HEAL_001-O-5-8-20170724	HEAL_001-O-20170724-COMP
HEAL_001-O-10-32.5-20170724	HEAL_001-O-20170724-COMP
HEAL_046-O-4.5-13.5-20170725	HEAL_046-O-20170725-COMP
HEAL_046-O-30.5-0-20170725	HEAL_046-O-20170725-COMP
HEAL_046-O-8.5-31-20170725	HEAL_046-O-20170725-COMP
HEAL_048-O-36-2.5-20170725	HEAL_048-O-20170725-COMP
HEAL_048-O-18-34.5-20170725	HEAL_048-O-20170725-COMP
HEAL_048-O-14-7-20170725	HEAL_048-O-20170725-COMP
HEAL_047-O-18-4-20170725	HEAL_047-O-20170725-COMP
HEAL_047-O-24.5-6.5-20170725	HEAL_047-O-20170725-COMP
HEAL_047-O-4.5-21-20170725	HEAL_047-O-20170725-COMP
HEAL_045-O-15-32-20170725	HEAL_045-O-20170725-COMP
HEAL_045-O-34.5-5-20170725	HEAL_045-O-20170725-COMP
HEAL_045-O-12.5-1-20170725	HEAL_045-O-20170725-COMP
HEAL_011-O-35.5-12-20170726	HEAL_011-O-20170726-COMP
HEAL_011-O-14-33-20170726	HEAL_011-O-20170726-COMP
HEAL_011-O-14-5-20170726	HEAL_011-O-20170726-COMP
HEAL_025-O-1-7-20170726	HEAL_025-O-20170726-COMP
HEAL_025-O-8.5-37.5-20170726	HEAL_025-O-20170726-COMP
HEAL_025-O-39.5-6.5-20170726	HEAL_025-O-20170726-COMP
HEAL_005-O-16.5-3.5-20170726	HEAL_005-O-20170726-COMP
HEAL_005-O-38-4-20170726	HEAL_005-O-20170726-COMP
HEAL_005-O-8.5-20-20170726	HEAL_005-O-20170726-COMP
HEAL_004-O-9.5-11.5-20170726	HEAL_004-O-20170726-COMP
HEAL_004-O-8-33-20170726	HEAL_004-O-20170726-COMP
HEAL_004-O-25-9.5-20170726	HEAL_004-O-20170726-COMP
